link,name,number,prof
http://CS199P.Stanford.EDU,Independent Work,CS199P,(none listed)
http://CS802.Stanford.EDU,Human-Computer Interaction Seminar,CS802,Follmer
http://CS499.Stanford.EDU,"Music, Computing and Design I",CS499,Wang
http://CS224V.Stanford.EDU,Artificial Intelligence: Principles & Techniques,CS224V,Liang/Sadigh
http://CS399P.Stanford.EDU,Independent Project,CS399P,(none listed)
http://CS9.Stanford.EDU,Personal Finance for Engineers,CS9,Nash
http://CS395.Stanford.EDU,Computer Laboratory,CS395,(none listed)
http://CS399.Stanford.EDU,Independent Database Project,CS399,(none listed)
http://CS528.Stanford.EDU,Seminar in Artificial Intelligence in Healthcare,CS528,Dror
http://CS522.Stanford.EDU,Advanced Reading and Research,CS522,(none listed)
http://CS1U.Stanford.EDU,,CS1U,
http://CS221.Stanford.EDU,Great Ideas in Computer Science,CS221,Gregg
http://CS224W.Stanford.EDU,Conversational Virtual Assistants with Deep Learni,CS224W,Lam
http://CS208E.Stanford.EDU,Independent Work,CS208E,(none listed)
http://CS390B.Stanford.EDU,Curricular Practical Training,CS390B,(none listed)
http://CS390C.Stanford.EDU,Curricular Practical Training,CS390C,(none listed)
http://CS390A.Stanford.EDU,Dynamic Data Structures for Graphs,CS390A,Henzinger
http://CS547.Stanford.EDU,Machine Learning Systems Seminar,CS547,Fu/Goel
http://CS348I.Stanford.EDU,Domain-Specific Programming Models and Compilers,CS348I,Kjolstad
http://CS448B.Stanford.EDU,Probabilistic Models: Language,CS448B,Goodman
http://CS330.Stanford.EDU,Practical Machine Learning,CS330,Leskovec
http://CS476A.Stanford.EDU,Data Visualization,CS476A,Agrawala
http://CS300.Stanford.EDU,Comp Biology: Struct & Org of Biomolecules & Cells,CS300,Dror
http://CS271.Stanford.EDU,Web Security,CS271,Aboukhadijeh
http://CS349D.Stanford.EDU,Graphics in the Era of AI,CS349D,Liu/Wu
http://CS251.Stanford.EDU,The Modern Internet,CS251,Durumeric
http://CS326.Stanford.EDU,Data for Sustainable Development,CS326,Burke/Lobell
http://CS249I.Stanford.EDU,Design for Understanding,CS249I,Wodtke
http://CS230.Stanford.EDU,Machine Learning Theory,CS230,Ma
http://CS229.Stanford.EDU,Machine Learning with Graphs,CS229,Leskovec
http://CS279.Stanford.EDU,Reps and Algor for Computational Molecular Bio,CS279,Altman
http://CS199.Stanford.EDU,Additional Topics in Teaching Computer Science,CS199,Sahami
http://CS325B.Stanford.EDU,Departmental Lecture Series,CS325B,Reingold
http://CS253.Stanford.EDU,Cryptocurrencies and Blockchain Technologies,CS253,Boneh
http://CS192.Stanford.EDU,Writing Intensive Senior Project,CS192,(none listed)
http://CS198.Stanford.EDU,Computer Science Research,CS198,Lee/Tamkin
http://CS191W.Stanford.EDU,Senior Project,CS191W,(none listed)
http://CS191.Stanford.EDU,Effective Leadership in High-tech,CS191,Finley/Goldfei
http://CS236.Stanford.EDU,Deep Learning,CS236,Ng
http://CS238.Stanford.EDU,Principles of Robotic Autonomy,CS238,Pavone
http://CS242.Stanford.EDU,Embedded Systems Workshop,CS242,Levis
http://CS197.Stanford.EDU,Supervised Undergraduate Research,CS197,(none listed)
http://CS241.Stanford.EDU,Decision Making under Uncertainty,CS241,Kochenderfer
http://CS193Q.Stanford.EDU,Programming Service Project,CS193Q,(none listed)
http://CS194A.Stanford.EDU,Introduction to Python Programming,CS194A,Parlante
http://CS145.Stanford.EDU,Introduction to Computer Networking,CS145,Winstein
http://CS149.Stanford.EDU,Introduction to Computer Graphics and Imaging,CS149,Fedkiw
http://CS161.Stanford.EDU,Computational Logic,CS161,Genesereth
http://CS148.Stanford.EDU,Data Management and Data Systems,CS148,Shivakumar
http://CS131.Stanford.EDU,From Languages to Information,CS131,Jurafsky
http://CS154.Stanford.EDU,Parallel Computing,CS154,Fatahalian
http://CS157.Stanford.EDU,Introduction to the Theory of Computation,CS157,Reingold
http://CS124.Stanford.EDU,Safety in Systems Programming,CS124,Cain
http://CS144.Stanford.EDU,Computer Vision: Foundations and Applications,CS144,Niebles Duque
http://CS110L.Stanford.EDU,Problem Solving Lab for CS110,CS110L,Cain
http://CS110.Stanford.EDU,Problem Solving Lab for 109,CS110,Piech
http://CS107A.Stanford.EDU,Computer Organization and Systems,CS107A,Troccoli
http://CS109A.Stanford.EDU,Intro to Probability for Computer Scientists,CS109A,Piech
http://CS107E.Stanford.EDU,Problem-solving Lab for CS 107,CS107E,Troccoli
http://CS109.Stanford.EDU,Computer Systems from the Ground Up,CS109,Levis/Gregg
http://CS107.Stanford.EDU,Coding for Social Good,CS107,Cain
http://CS106B.Stanford.EDU,Programming Methodology,CS106B,Parlante
http://CS106L.Stanford.EDU,Programming Abstractions,CS106L,Lee/Zelenski
http://CS106S.Stanford.EDU,Enrichment Adventures in Programming Abstractions,CS106S,Zelenski
http://CS106M.Stanford.EDU,Standard C++ Programming Laboratory,CS106M,Schwarz
http://CS106A.Stanford.EDU,Introduction to Computers,CS106A,Young
http://CS105.Stanford.EDU,Mathematical Foundations of Computing,CS105,Schwarz
http://CS103.Stanford.EDU,Problem-solving Lab for CS 106B,CS103,Lee/Zelenski
http://CS25.Stanford.EDU,Intro to Mobile AR Design and Dev,CS25,Borenstein
